id,edges,name,type,clusteringCoefficient,betweennessCentrality,distanceToFurthestNode,degree
p1096816,"{1906, 0, m2404435, m30146,  4762, m3238730, 326, m0331281, 7, m5158800, m3505650, m2002718, m1278469, m2382010, m2151891, m3531260, m238108,  m384380, m2836628, m117549, m2400313, m166297, m1865573,  m1691449, m4385852, m1885325,  877, 3, 245, 9, m560834, 8268, 396653, m15683, m2697518, 388, m0115147, m265725}","Gassaway, Mike",actor,0.845855173753,0.0107852094595,4.0,102.0
p1011531,{},"Lazar, Carrie",director,0.879797979798,0.000875597466507,4.0,100.0
p8337726,{},"Wylie, John",actor,0.879797979798,0.000875597466507,4.0,100.0
p8337727,{},"Camp, Fionn",error,0.879797979798,0.000875597466507,4.0,100.0
p8337724,{},"Brown, Ryan",actor,0.879797979798,0.000875597466507,4.0,100.0
p7513053,{},"Walker, Jacob",actor,0.879797979798,0.000875597466507,4.0,100.0
p2002316,"{m1836037, 26, m1091996, 156, m166333, m1291556, m093509, m2404435, m1701228, m1024733, 3, 2, m1282147, 4, m423, m22240, 9, 6474, 7884, m2815966, 50}","Browder, Vic",actor,0.862772277228,0.00392856301947,4.0,101.0
p3642904,{},"Martinez, Jose B.",actor,0.0,0.0,1.0,0.0
p7460288,{},"Vince, Danny",actor,0.879797979798,0.000875597466507,4.0,100.0
p0765597,"{1, 0402, m3726704, m0160434, m0361, 47,  m163,  m0804522, m0267626, m2404435, m0262, 1736, m0323944, m0924137, 2, m0384929, 9958, m135568, 6, m0120240, 8, m1133985, 8844,  17673, m033376, m012626, m0171804, 7, m4682788, m09109, m0275521, m34765, 3933, 3743, m2250763, m076821, 5737, m1619029, m4185100, 487, 93, m184752, 04}","Sarsgaard, Peter",actor,0.879797979798,0.000875597466507,4.0,100.0
p2880650,{},"Miller, David",actor,0.0,0.0,1.0,0.0
p6021414,{},"Prince, Dodge",actor,0.879797979798,0.000875597466507,4.0,100.0
p0000160,"{m012076, m3721954, m329733, m1922777, m0433362, 27, m0226935, m0119223, m011170, m1824966, 9816, 839, m013965, m2404435,  m0460792,  m1605777,  0878, m3093522, m010579, 404, 5, m0089114, 6, m2219650, 507, m2239822, m0243017,  399, 6246, 2500, 753, 147, m0114371, 448, m0171359, 992, m1386703, 0042, 714, 1098, m0271020,  m01024, m04377, m2184339, 716, m3397754, 9177, m0452660, m544245, m0120834, 28533, m0160672, m0292963, m1334573, m6053438, m2167202, m3608930, m0103247, m0398712, 5719, 929}","Hawke, Ethan",director/actor,0.846631721996,0.00644071837254,4.0,102.0
p7797494,{},"Calhoun, Brady",actor,0.879797979798,0.000875597466507,4.0,100.0
p5456827,{},"Jones, Cedric D.",actor,0.879797979798,0.000875597466507,4.0,100.0
p2093766,{},"Grimes, Luke",actor,0.879797979798,0.000875597466507,4.0,100.0
p7562589,{},"Greely, William",actor,0.879797979798,0.000875597466507,4.0,100.0
p1413353,{},"Schmitz, Eric C.",actor,0.879797979798,0.000875597466507,4.0,100.0
p7377921,{},"Winn, Danny",actor,0.0,0.0,1.0,0.0
